Input binarization: False
Pretrained network accuracy: 0.9983999729156494
NN CONFIG
Weight-type:		ternary
Layout									Layer #1: 784	Layer #2: 250	Layer #3: 220	Layer #4: 10	
Activation Functions					Layer #1: bs	Layer #2: bs	
Keep probabilities		Layer #0: 1.0	Layer #1: 1.0	Layer #2: 1.0	
Flat factors							Layer #1: 1.0	Layer #2: 1.0	Layer #3: 1.0	
Activation Noise						Layer #1: 0.0	Layer #2: 0.0	Layer #3: 0.0	
Prior: 0.96

===================================

RUN CONFIG
Gibbs  Epochs: 200, Blocksize: 4

===================================

Gibbs Ensemble | Burn In: 20, Thinning: 5
Epoch: 0, AccTr: 0.1873999983072281, AccVa: 0.1889999955892563, CeTr: 6.621602535247803, CeVa: 6.834131717681885
Epoch: 1, AccTr: 0.9334999918937683, AccVa: 0.8504999876022339, CeTr: 0.22573775053024292, CeVa: 0.7553621530532837
Epoch: 2, AccTr: 0.9431999921798706, AccVa: 0.8504999876022339, CeTr: 0.15770696103572845, CeVa: 0.713923454284668
Epoch: 3, AccTr: 0.951200008392334, AccVa: 0.8585000038146973, CeTr: 0.13803154230117798, CeVa: 0.6772825717926025
Epoch: 4, AccTr: 0.9549000263214111, AccVa: 0.8500000238418579, CeTr: 0.12507803738117218, CeVa: 0.7183462381362915
Epoch: 5, AccTr: 0.9555000066757202, AccVa: 0.8489999771118164, CeTr: 0.12272355705499649, CeVa: 0.7241113781929016
Epoch: 6, AccTr: 0.9542999863624573, AccVa: 0.8544999957084656, CeTr: 0.11888130754232407, CeVa: 0.6679537296295166
Epoch: 7, AccTr: 0.9571999907493591, AccVa: 0.8539999723434448, CeTr: 0.12449139356613159, CeVa: 0.6460040211677551
Epoch: 8, AccTr: 0.9578999876976013, AccVa: 0.8550000190734863, CeTr: 0.1134272962808609, CeVa: 0.6648561954498291
Epoch: 9, AccTr: 0.9556000232696533, AccVa: 0.8579999804496765, CeTr: 0.11664674431085587, CeVa: 0.6837530732154846
Epoch: 10, AccTr: 0.9602000117301941, AccVa: 0.8709999918937683, CeTr: 0.1081678569316864, CeVa: 0.6743095517158508
Epoch: 11, AccTr: 0.9611999988555908, AccVa: 0.8634999990463257, CeTr: 0.10338202118873596, CeVa: 0.6512096524238586
Epoch: 12, AccTr: 0.9589999914169312, AccVa: 0.8669999837875366, CeTr: 0.11034567654132843, CeVa: 0.6362352967262268
Epoch: 13, AccTr: 0.9628999829292297, AccVa: 0.8665000200271606, CeTr: 0.10326358675956726, CeVa: 0.6159911155700684
Epoch: 14, AccTr: 0.9613000154495239, AccVa: 0.859499990940094, CeTr: 0.10022643953561783, CeVa: 0.669236958026886
Epoch: 15, AccTr: 0.9639999866485596, AccVa: 0.8644999861717224, CeTr: 0.09680470079183578, CeVa: 0.67824786901474
Epoch: 16, AccTr: 0.9639999866485596, AccVa: 0.859000027179718, CeTr: 0.09544289857149124, CeVa: 0.6796779036521912
Epoch: 17, AccTr: 0.9642000198364258, AccVa: 0.8615000247955322, CeTr: 0.09996616840362549, CeVa: 0.6572056412696838
Epoch: 18, AccTr: 0.9624999761581421, AccVa: 0.8644999861717224, CeTr: 0.09816187620162964, CeVa: 0.6392542123794556
Epoch: 19, AccTr: 0.9609000086784363, AccVa: 0.875, CeTr: 0.1040944829583168, CeVa: 0.6195015907287598
Epoch: 20, AccTr: 0.9667999744415283, AccVa: 0.8700000047683716, CeTr: 0.09089426696300507, CeVa: 0.6379318833351135
ENSEMBLE | Tr_Acc: 0.9667999744415283, Tr_CE: 0.09089426696300507, Va_Acc: 0.8700000047683716, Va_CE: 0.6379318833351135
Epoch: 21, AccTr: 0.9646000266075134, AccVa: 0.8659999966621399, CeTr: 0.09341166168451309, CeVa: 0.6609456539154053
Epoch: 22, AccTr: 0.9660999774932861, AccVa: 0.8665000200271606, CeTr: 0.09378352761268616, CeVa: 0.6456570029258728
Epoch: 23, AccTr: 0.9617000222206116, AccVa: 0.8640000224113464, CeTr: 0.10224955528974533, CeVa: 0.7008659243583679
Epoch: 24, AccTr: 0.9628999829292297, AccVa: 0.8734999895095825, CeTr: 0.09981860965490341, CeVa: 0.6754741072654724
Epoch: 25, AccTr: 0.9641000032424927, AccVa: 0.8805000185966492, CeTr: 0.09546788036823273, CeVa: 0.6147090196609497
ENSEMBLE | Tr_Acc: 0.9868999719619751, Tr_CE: 0.041912030428647995, Va_Acc: 0.9020000100135803, Va_CE: 0.45496562123298645
Epoch: 26, AccTr: 0.9645000100135803, AccVa: 0.871999979019165, CeTr: 0.09342074394226074, CeVa: 0.639309287071228
Epoch: 27, AccTr: 0.9614999890327454, AccVa: 0.8705000281333923, CeTr: 0.09848375618457794, CeVa: 0.6798293590545654
Epoch: 28, AccTr: 0.9668999910354614, AccVa: 0.8684999942779541, CeTr: 0.08922367542982101, CeVa: 0.7098764181137085
Epoch: 29, AccTr: 0.9623000025749207, AccVa: 0.862500011920929, CeTr: 0.09791191667318344, CeVa: 0.7387659549713135
Epoch: 30, AccTr: 0.964900016784668, AccVa: 0.8755000233650208, CeTr: 0.09564247727394104, CeVa: 0.6095678806304932
ENSEMBLE | Tr_Acc: 0.9927999973297119, Tr_CE: 0.02995939552783966, Va_Acc: 0.9104999899864197, Va_CE: 0.4067003130912781
Epoch: 31, AccTr: 0.9650999903678894, AccVa: 0.8665000200271606, CeTr: 0.09647323191165924, CeVa: 0.6930620074272156
Epoch: 32, AccTr: 0.9656999707221985, AccVa: 0.871999979019165, CeTr: 0.09305653721094131, CeVa: 0.6578869223594666
